,pms,empirical_frequency
0,0.0,0.0
1,0.05,0.03933333333333333
2,0.1,0.06466666666666666
3,0.15000000000000002,0.08733333333333333
4,0.2,0.11266666666666666
5,0.25,0.152
6,0.30000000000000004,0.19733333333333333
7,0.35000000000000003,0.256
8,0.4,0.31933333333333336
9,0.45,0.3933333333333333
10,0.5,0.47733333333333333
11,0.55,0.5706666666666667
12,0.6000000000000001,0.6493333333333333
13,0.65,0.7326666666666667
14,0.7000000000000001,0.7926666666666666
15,0.75,0.834
16,0.8,0.8766666666666667
17,0.8500000000000001,0.9133333333333333
18,0.9,0.9426666666666667
19,0.9500000000000001,0.9646666666666667
20,1.0,1.0
